Arabizi,English
3mam,uncles
a3mam,uncles
7fid,grandchild
hfid,grandchild
7afid,grandchild
jdd,grandfather
jedd,grandfather
jadd,grandfather
jdda,grandmother
jedda,grandmother
jadda,grandmother
nsab,family-in-law
nsaab,family-in-law
khDra,vegetables
khoDra,vegetables
5oDra,vegetables
bsla,onion
basla,onion
besla,onion
maticha,tomato
matecha,tomato
jelbana,pea
jlbana,pea
dnjal,eggplant
denjal,eggplant
gar3a,pumpkin
gr3a,pumpkin
mkowwr,cabbage
mkowwer,cabbage
mkowwar,cabbage
btata,potato
batata,potato
khyar,cucumber
khiar,cucumber
5iar,cucumber
5yar,cucumber
khizo,carrot
5izo,carrot
touma,garlic
ttouma,garlic
chiflour,cauliflower
chiflor,cauliflower
9o9,artichokes
9ou9,artichokes
qoq,artichokes
qouq,artichokes
khrchouf,cardoon
kherchouf,cardoon
kharchof,cardoon
khrchof,cardoon
flfla,pepper
felfla,pepper
falfla,pepper
fjl,radishes
fjel,radishes
loubia,beans
lobia,beans
loubya,beans
bsbas,fennel
besbas,fennel
basbas,fennel
khoss,lettuce
khos,lettuce
5oss,lettuce
5os,lettuce
lft,turnip
left,turnip
laft,turnip
kbal,maize
9zbour,coriander
9azbour,coriander
9ezbor,coriander
9zbor,coriander
m3dnous,parsley
m3adnous,parsley
m3ednous,parsley
me3dnous,parsley
zitoun,olives
zitoune,olives
barba,beet
krafS,celery
krafes,celery
krafas,celery
kourjiT,courgette
korjiT,courgette
khDra,vegetables
khoDra,vegetables
dissir,fruits
ddissir,fruits
ddisser,fruits
disser,fruits
tfa7,apple
tfah,apple
bou3ouid,pear
bou3wid,pear
bouaouid,pear
friz,strawberry
frez,strawberry
avoka,avocado
avoca,avocado
lavoka,avocado
3nb,grape
3anb,grape
3enb,grape
krmous,fig
karmous,fig
kermous,fig
limoun,orange
limon,orange
7amd,lemon
hamd,lemon
rman,pomegranate
rmman,pomegranate
reman,pomegranate
dla7,watermelon
dela7,watermelon
dlah,watermelon
delah,watermelon
khoukh,peach
kiwi,kiwi
kioui,kiwi
7blmlouk,cherry
7eb lemlouk,cherry
hab lamlouk,cherry
heb lemlouk,cherry
ananas,pineapple
mnoun,melon
swi8la,melon
swihla,melon
souihla,melon
banan,banana
banane,banana
mchmach,apricot
mechmach,apricot
machmach,apricot
mang,mango
mangue,mango
mandarine,mandarin orange
mandarin,mandarin orange
tmr,dates
tmar,dates
tmer,dates
br9o9,plums
ber9o9,plums
br9ou9,plums
ber9ou9,plums
makla,food
lmakla,food
3ds,lenses
l3ds,lenses
loubia,beans
nbg,jujube
nbag,jujube
nbeg,jujube
nnbeg,jujube
blloT,oak
balloT,oak
llouz,almonds
louz,almonds
n3na3,mint
naanaa,mint
ne3na3,mint
na3na3,mint
zbib,raisins
zzbib,raisins
biD,eggs
bayD,eggs
biDa,egg
bayDa,egg
zbda,butter
zabda,butter
zebda,butter
khbz,bread
khobz,bread
5obz,bread
mska,chewing gum
maska,chewing gum
meska,chewing gum
skkar,sugar
sokkar,sugar
skar,sugar
sokar,sugar
ml7a,salt
mel7a,salt
mal7a,salt
malha,salt
zit,oil
zzit,oil
7mmS,chickpeas
7ammaS,chickpeas
7mmeS,chickpeas
hammeS,chickpeas
7rira,soup
hrira,soup
chlaDa,salad
l7m,meat
l7em,meat
l7am,meat
khmira,yeast
5mira,yeast
3jina,dough
frmaj,cheese
fromaj,cheese
formaj,cheese
ch3ria,pasta
che3ria,pasta
cha3ria,pasta
disir,desserts
dicir,desserts
dissir,desserts
laglas,ice cream
laglass,ice cream
kika,cake
3Tria,spices
3aTria,spices
3Trya,spices
3eTria,spices
gm7,wheat
gam7,wheat
guem7,wheat
9m7,wheat
dgig,flour
d9i9,flour
ch3ir,barley
9rfa,cinnamon
9arfa,cinnamon
9erfa,cinnamon
qarfa,cinnamon
kmmon,cumin
kmmoun,cumin
kammoun,cumin
kemmon,cumin
9ronfl,cloves
9ronfel,cloves
9ronfal,cloves
z3fran,saffron
z3efran,saffron
z3afran,saffron
z3tr,thyme
ze3tr,thyme
za3ter,thyme
z3tar,thyme
chrab,drink
chchrab,alcohol
birra,beer
atay,tea
7lib,milk
7alib,milk
hlib,milk
3aSir,juice
fTor,breakfast
fTour,breakfast
ghda,lunch
3cha,dinner
ma9adir,ingredients
maqadir,ingredients
jo3,hunger
jou3,hunger
3Tch,thirst
3Tech,thirst
3Tach,thirst
rijim,diet
cha8ia,appetite
cha8iyya,appetite
chahia,appetite
mchwi,grilled
mechwi,grilled
machwi,grilled
m9li,fried
me9li,fried
ma9li,fried
m7mmr,roasted
m7ammar,roasted
m7emmer,roasted
mgrml,crunchy
mgermel,crunchy
mgarmel,crunchy
mgarmal,crunchy
khDr,raw
khDer,raw
khDar,raw
5Dr,raw
bnin,delicious
bnyn,delicious
nachf,dry
nachef,dry
nachaf,dry
7lo,sweet
7lou,sweet
7low,sweet
7arr,spicy
marr,bitter
morr,bitter
7amD,sour
7ameD,sour
7amaD,sour
m7roug,burned
m7rog,burned
m7rog,burned
m7ro9,burned
lkhell,vinegar
khell,vinegar
5ell,vinegar
bTaTa frit,french fries
bTaTafrit,french fries
s99aTa,candy
mada9,flavor
madaq,flavor
Tajin,Tagine
Tagine,Tagine
Tanjia,Tanjia
Tnjia,Tanjia
Tnjyya,Tanjia
Tanjyya,Tanjia
bsTila,bastila
besTila,bastila
basTila,bastila
m7nncha,mhancha
m7enncha,mhancha
m7anncha,mhancha
f99as,faqqas
fe99as,faqqas
k3bghzal,kaab ghzal
k3b ghzal,kaab ghzal
ke3b lghzal,kaab ghzal
ka3b ghzal,kaab ghzal
sellou,sellou
sllou,sellou
sello,sellou
briwat,briwat
briouat,briwat
chbbakia,chebbakia
chebbakia,chebbakia
chbakia,chebbakia
ghriba,ghriba
ghoriba,ghriba
9richlat,qrichlat
qrichlat,qrichlat
rzzt l9aDi,razzat el cadi
razzat l9aDi,razzat el cadi
rezzat l9aDi,razzat el cadi
rrwa7,influenza
skkar,diabetes
Sda3,ache
7asasia,allergy
hassasia,allergy
7assasia,allergy
DDi9a,asthma
DDe9a,asthma
tanffous,breathing
tanffos,breathing
tanaffos,breathing
S7i7,healthy
mriD,ill
Tibb,medicine
sbiTar,hospital
labilanS,ambulance
maraD,disease
konSir,cancer
mard khayb,cancer
lmard lkhayb,cancer
mard lkhayb,cancer
taw77oud,autism
taw77od,autism
bouchwika,varicella
bochwika,varicella
ara9,insomnia
ss8al,diarrhea
SriSra,diarrhea
jr7a,wound
jr7,wound
jer7a,wound
jar7a,wound
t9ya,vomit
te9ya,vomit
t9ia,vomit
dwa,medication
ddwa,medication
ghrza,stitch
ghorza,stitch
gherza,stitch
3kkaz,crutch
3okkaz,crutch
bnj,anesthetic
benj,anesthetic
lbnj,anesthetic
lbenj,anesthetic
tchri7,autopsy
tachri7,autopsy
S77a,health
Si77a,health
Sa77a,health
alam,pain
2alam,pain
7ri9,pain
3Tsa,sneeze
3eTsa,sneeze
3aTsa,sneeze
k7ba,cough
ka7ba,cough
ke7ba,cough
khalia,cell
khaliya,cell
5alia,cell
5alyya,cell
maraD mozmin,chronic disease
maraD mo3di,contagious disease
gzima,eczema
lgzima,eczema
SSr3,epilepsy
SSara3,epilepsy
Ta3oun,plague
Ta3on,plague
romatizm,rheumatism
rromatizm,rheumatism
roumatizm,rheumatism
rroumatizm,rheumatism
l7la9m,tonsils
7la9m,tonsils
7la9em,tonsils
l7la9em,tonsils
skhana,fever
s5ana,fever
sskhana,fever
7kka,itching
7ekka,itching
chalal,paralysis
gui7,pus
gi7,pus
lti8ab,inflammation
ilti8ab,inflammation
ltihab,inflammation
lbbaser,piles
lbbasr,piles
l9ebT,constipation
l9bT,constipation
boul,urine
lgholD,obesity
gholD,obesity
lghlD,obesity
7ma9,insanity
l7ma9,insanity
ij8aD,abortion
ijhaD,abortion
jjdam,leprosy
7bb chchbab,acne
7ebb chbab,acne
7ebb chchbab,acne
7bbchbab,acne
7ri9 rass,headache
alam d rass,headache
mheress,fractured
m8aress,fractured
mharres,fractured
thrisa,fracture
tehrisa,fracture
te8rissa,fracture
boumzwi,Irritable bowel syndrome
bomzwi,Irritable bowel syndrome
insan,human
bnadm,human
bnadem,human
rjl,foot
rjel,foot
yedd,hand
yed,hand
idd,hand
3in,eye
3ain,eye
3ayn,eye
nif,nose
mnaker,nose
menkher,nose
mnkhr,nose
men5ar,nose
fom,mouth
fomm,mouth
fmm,mouth
dmagh,brain
kbda,liver
kebda,liver
riyya,lung
ria,lung
riya,lung
rya,lung
klwa,kidney
kalwa,kidney
kelwa,kidney
m3da,stomach
me3da,stomach
ma3da,stomach
3Dm,bone
3Dam,bone
mSarn,intestine
mSaren,intestine
mSaran,intestine
9lb,heart
9alb,heart
9elb,heart
qalb,heart
wdn,ear
oden,ear
wden,ear
wdan,ear
ras,head
jasad,body
jassad,body
3oDw,organ
jld,skin
jelda,skin
jeld,skin
jmjoma,skull
jomjoma,skull
jmjouma,skull
ch3r,hair
ch3er,hair
ch3ar,hair
mostach,mustache
l7ya,beard
le7ya,beard
la7ya,beard
wjh,face
wjeh,face
wjah,face
7ajb,eyebrow
hajb,eyebrow
chfar,eyelashes
dfal,saliva
ddfal,saliva
chwarb,lips
chouarb,lips
chwareb,lips
lsan,tongue
lisan,tongue
lissan,tongue
snna,tooth
senna,tooth
3ng,neck
3ong,neck
3eng,neck
3on9,neck
9rjoTa,throat
9arjoTa,throat
ktf,shoulder
ktef,shoulder
ktaf,shoulder
Sdr,chest
Sdar,chest
Sder,chest
dra3,arm
7nk,cheek
7ank,cheek
7enk,cheek
jb8a,forehead
jab8a,forehead
jeb8a,forehead
jbha,forehead
rmouch,eyelashes
7la9m,tonsils
7la9em,tonsils
hlaqem,tonsils
baT,armpit
mrf9,elbow
mrfg,elbow
marfa9,elbow
merfeg,elbow
Sb3,finger
Sbe3,finger
Dfr,fingernail
Dfer,fingernail
krch,abdomen
kerch,abdomen
karch,abdomen
rjl,leg
rjel,leg
fkhD,thigh
fkheD,thigh
rkba,knee
rokba,knee
gdm,heel
gdem,heel
D8r,back
D8ar,back
D8er,back
Dhar,back
Dl3a,rib
Dal3a,rib
Del3a,rib
dm,blood
dem,blood
dam,blood
3r9,vein
3ar9,vein
3er9,vein
3aDala,muscle
3amoud lfi9ari,backbone
3amoud fi9ari,backbone
3amod fi9ari,backbone
chchouf,sight
ssm3,hearing
ssem3,hearing
ssam3,hearing
chchmm,smell
chchemm,smell
chchamm,smell
ddou9,taste
llms,touch
llems,touch
llams,touch
tanffous,breathing
tanffos,breathing
tanaffos,breathing
tgrr3,to burp
tgerre3,to burp
tgarra3,to burp
tgarre3,to burp
tfww8,to yawn
tfawwa8,to yawn
tfewwe8,to yawn
tfawwe8,to yawn
chkhr,to snore
chkher,to snore
chkhar,to snore
7sana,haircut
hsana,haircut
7ssn,to shave
7ssen,to shave
mchT,to comb
mcheT,to comb
mchaT,to comb
wchm,tattoo
wchem,tattoo
wcham,tattoo
ouchm,tattoo
khal,mole
khala,mole
9ahwa,coffee
9hwa,coffee
9ehwa,coffee
korsi,chair
krsi,chair
tabla,table
tbla,table
kas,glass
ma,water
lma,water
8wa,air
8awa,air
9r3a,bottle
9ar3a,bottle
dar,house
bit,room
mdrasa,school
medrasa,school
Tomobil,car
tomobil,car
Tomobila,car
motor,motorcycle
moteur,motorcycle
chffar,thief
cheffar,thief
mol7anout,grocery seller
moll7anout,grocery seller
molpisri,grocery seller
chjra,tree
chejra,tree
chajra,tree
3imara,building
partma,apartment
prtma,apartment
jrda,garden
jerda,garden
jarda,garden
n3as,sleep
naas,sleep
wld,boy
wald,boy
weld,boy
bnt,girl
bent,girl
pikala,bicycle
picala,bicycle
tobis,bus
Tobis,bus
chari3,avenue
chare3,avenue
drb,alley
derb,alley
darb,alley
7ouma,neighborhood
7oma,neighborhood
houma,neighborhood
drouj,stairs
droj,stairs
nkhla,date palm
nekhla,date palm
nakhla,date palm
lougha,language
logha,language
3am,year
aam,year
fakhour,proud
fakhor,proud
fa5our,proud
lyom,today
lioma,today
liom,today
lbar7,yesterday
lbare7,yesterday
lbareh,yesterday
ghdda,tomorrow
gheda,tomorrow
ghada,tomorrow
namousia,bed
Se8d,heat
Sa8d,heat
Sahd,heat
3aada,habit
3ada,habit
ntikhabat,elections
intikhabat,elections
inti5abat,elections
brlaman,parliament
barlaman,parliament
barlamane,parliament
malik,king
wzir,minister
wazir,minister
brlamani,deputy
gdd,equal
ktichaf,discovery
chi haja,something
charika,company
mo9awala,enterprise
moqawala,enterprise
chaark,contribute
chark,contribute
Sa7b,friend
Sahb,friend
3chir,best friend
3cher,best friend
aachir,best friend
Sa7bi,my friend
Sahbi,my friend
3chiri,my best friend
aachiri,my best friend
sou9,market
souk,market
souq,market
marchi,market
frassi,I know
frasi,I know
frask,you know
frasek,you know
frassek,you know
ta3,of
nta3,of
dyal,of
dial,of
diyal,of
khlleS,pay
khllaS,pay
khallaS,pay
khlaS,payment
5laS,payment
nhar,day
n8ar,day
7arb,war
harb,war
7erb,war
7bs,prison
7abs,prison
7ebs,prison
7bbas,prisoner
habbas,prisoner
hebbas,prisoner
jarima,crime
frdi,gun
ferdi,gun
fardi,gun
mk7la,rifle
mok7la,rifle
9rtas,gun bullets
9artas,gun bullets
qartass,gun bullets
mous,knife
m3il9a,spoon
3ach9a,spoon
frchiTa,fork
forchita,fork
forchiTa,fork
biro,desk
lbiro,desk
chrjm,window
cherjem,window
charjam,window
jar,neighbor
jiran,neighbors
fya9,wake up
fia9,wake up
fiaq,wake up
Sda3,noise
tanffos,breathing
3oman,swimming
7araka,movement
haraka,movement
wo9ouf,stop
woqof,stop
wo9of,stop
t7m7ima,shower
t7am7ima,shower
thamhima,shower
7mmam,bathroom
hammam,bathroom
bitn3as,bedroom
bit nn3as,bedroom
bit n3as,bedroom
kouzina,kitchen
kozina,kitchen
Twalit,toilet
Twalet,toilet
trikko,sweater
triko,sweater
nDadr,glasses
nDader,glasses
3amalia,operation
3amaliat,operations
Tibibt,Striolated bunting
Sa7afa,journalism
mSdar,reference
maSdar,reference
mnb3,source
manba3,source
manbaa,source
3adawa,hate
3onf,violence
3ounf,violence
mamlaka,kingdom
memlaka,kingdom
jomhoria,republic
jom8oria,republic
jomhorya,republic
jm8or,public
jom8our,public
jomhor,public
mowatin,citizen
tsrkila,a walk
mosta9ill,independent
mosta9il,independent
mostaqill,independent
3skr,army
3askar,army
3esker,army
3arabia,arabic
l3arabia,arabic
ni9ach,dialog
niqach,dialog
mzian,well
mezian,well
mziane,well
Tri9,road
Triq,road
moSala7a,conciliation
moSalaha,conciliation
rafD,rejection
khibra,expertise
5ibra,expertise
ljna,committee
lajna,committee
lejna,committee
dawla,state
doula,state
7o9o9,rights
7o9ou9,rights
hoqouq,rights
7e99,right
7a9,right
7e9,right
9owwa,power
qowa,power
9oaw,power
Tbsil,plate
Tabsil,plate
Tebsil,plate
mma3n,dishes
mmwa3n,dishes
mma3en,dishes
clim,air conditioner
laclim,air conditioner
laklim,air conditioner
mochkil,problem
mouchkil,problem
tsalim,handshake
3afia,fire
aafia,fire
l8ja,accent
le8ja,accent
la8ja,accent
ksida,accident
Tyyara,airplane
Teyyara,airplane
faDa2i,alien
moghamara,adventure
naSi7a,advice
atar,effect
2atar,effect
3mr,age
3omor,age
lanTir,antenna
fas,ax
i7sas,feeling
ihsas,feeling
nffakha,balloon
neffakha,balloon
naffa5a,balloon
taSrrof,behavior
taSarrof,behavior
taSarrouf,behavior
SoniT,bell
asasi,basic
a7san,best
ahsan,best
wlada,birth
oulada,birth
mout,death
mawt,death
maout,death
wafat,death
wafaat,death
3idmilad,birthday
3id milad,birthday
3id,feast
7fla,party
7efla,party
hafla,party
3DDa,bite
3aDDa,bite
3eDDa,bite
mlaya,blanket
manTa,blanket
ghTa,coverage
sTl,bucket
sTal,bucket
sTel,bucket
nchoufouk,see you
nchofok,see you
gardkor,bodyguard
gardkour,bodyguard
chaff,boss
chef,boss
9r3a ,bottle
9ar3a,bottle
9er3a,bottle
Sndo9,box
Sandou9,box
Sndou9,box
flouka,boat
floka,boat
smia,first name
smya,first name
smyya,first name
knia,last name
knya,last name
knyya,last name
sabab,cause
tlfaza,television
telfaza,television
talfaza,television
3om9,depth
3oum9,depth
3omq,depth
tghyir,change
taghyir,change
teghyir,change
khTwa,step
khoTwa,step
5Twa,step
Tari9a,method
Tariqa,method
Tri9,way
Triq,way
bidaya,start
ni8aya,end
nihaya,end
9iSSa,story
9isa,story
qissa,story
mnchar,saw
menchar,saw
manchar,saw
Sara7a,truth
mital,example
3alama,mark
bka,cry
mSla7a,interest
meSla7a,interest
maSla7a,interest
safar,travel
bnadm,human
bnadem,human
insan,human
bachar,human being
mDarba,fight
mdabza,fight
mTayfa,fight
Trf,fraction
Tarf,fraction
Terf,fraction
7iT,wall
7ayT,wall
7eT,wall
maw9if,position
mou9if,position
armala,widow
7kma,wisdom
7ikma,wisdom
mtla,proverb
khdma,job
khedma,job
kahdma,job
dakar,male
ounta,female
ri7la,trip
rihla,trip
rmz,symbol
ramz,symbol
remz,symbol
7aala,case
7ala,case
hala,case
sarout,key
sarot,key
vilaj,village
nou3,type
naw3,type
now3,type
9anoun,law
9anon,law
qanon,law
9yma,value
9ima,value
qima,value
m3na,sense
me3na,sense
ma3na,sense
khaTar,danger
5aTar,danger
3skri,soldier
3askri,soldier
3eskri,soldier
skka,rail
sekka,rail
t9lab,search
te9lab,search
taqlab,search
ttiSal,connection
ittiSal,connection
mokalama,call
mokaalama,call
3adow,enemy
3dow,enemy
3do,enemy
dkhan,smoke
dokhan,smoke
d55an,smoke
bokhar,steam
boukhar,steam
bo5ar,steam
masar,path
masaar,path
7lma,dream
7elma,dream
7alma,dream
DDoble,double
Doble,double
mokhyyam,camp
mo5yam,camp
mokhayyam,camp
kamio,truck
camio,truck
iTaj,floor
eTaj,floor
Taj,floor
bab,door
s9f,ceiling
s9ef,ceiling
sa9f,ceiling
STa7,roof
sansour,elevator
sansor,elevator
banko,balcony
balko,balcony
balcon,balcony
kra,rent
frach,furniture
khamia,curtain
5amia,curtain
tilikomond,remote control
telekomond,remote control
BoLa,lamp
DDo,light
Do,light
chm3a,candle
cham3a,candle
chem3a,candle
zrbia,carpet
zerbia,carpet
zarbia,carpet
brika,lighter
chTTaba,broom
cheTTaba,broom
chaTTaba,broom
mkhdda,pillow
mkhadda,pillow
mkhedda,pillow
mraya,mirror
meraya,mirror
maraya,mirror
mchTa,comb
machTa,comb
mechTa,comb
douch,shower
kabina,toilet
papijinik,toilet paper
lavabo,sink
foTa,towel
fouTa,towel
Sabon,soap
Sabona,soap
tllaja,fridge
tellaja,fridge
tallaja,fridge
frran,oven
farran,oven
ferran,oven
mTr9a,hammer
mTar9a,hammer
mTir9a,hammer
msmar,nail
masmar,nail
mesmar,nail
dodan,speed bumps
Srb,sewer
Serb,sewer
Sarb,sewer
z7am,crowdedness
zz7am,crowdedness
rwina,mess
rwena,mess
rouina,mess
zbl,trash
zbel,trash
zbal,trash
rwiDa,wheel
rweDa,wheel
rouiDa,wheel
fran,brake
pirmi,driver s license
ppirmi,driver s license
chifor,driver
chifour,driver
zyara,visit
ziara,visit
dmou3,tears
dmo3,tears
nas,people
nnas,people
nass,people
7ayat,life
hayat,life
mora8i9,teenager
moraa8i9,teenager
chabb,young
chaabb,young
chaab,young
chabab,youth
chabaab,youth
rajl,man
mra,woman
rjal,men
3yalat,women
3ialat,women
twam,twins
twama,twins
3rs,wedding
3ers,wedding
3ars,wedding
Sda9,dowry
Sdaa9,dowry
khaTiba,fiancee
5aTyba,fiancee
5aTiba,fiancee
3rousa,bride
3rosa,bride
Tla9,divorce
Tala9,divorce
Tlaq,divorce
mojtama3,society
7aDara,civilization
haDara,civilization
9bila,tribe
qbila,tribe
9abila,tribe
moraja3a,review
8owia,identity
8owyya,identity
8owya,identity
tSri7,statement
taSri7,statement
teSri7,statement
i3lan,declaration
9arar,decision
qarar,decision
3aryDa,petition
3ariDa,petition
mobaadara,initiative
mobadara,initiative
9tira7,suggestion
i9tira7,suggestion
khoTTa,plan
5oTTa,plan
khtiar,choice
khtyar,choice
ikhtiar,choice
maw9if,position
mou9if,position
mo9if,position
SaDaa9a,friendship
SaDaaqa,friendship
SaDa9a,charity
SaDaqa,charity
moSiba,tragedy
moSyba,tragedy
karita,disaster
kaarita,disaster
mo8imma,mission
kha2in,traitor
khaa2in,traitor
5aa2in,traitor
ir8ab,terrorism
ir8aab,terrorism
Daroura,necessity
Darora,necessity
maw8iba,talent
mo8iba,talent
3o9oba,sanction
3o9ouba,sanction
ra8ina,hostage
imkania,possibility
imkaania,possibility
7timal,probability
i7timal,probability
mr7ala,phase
mer7ala,phase
mar7ala,phase
39lia,mentality
39lya,mentality
khl3a,panic
khel3a,panic
5l3a,panic
miSda9ia,credibility
miSdaa9ia,credibility
miSdaaqia,credibility
som3a,reputation
soum3a,reputation
m3nawiat,morale
m3nawyat,morale
wa3y,awareness
tchwi8,distortion
tchwy8,distortion
mzyya,benefit
mzia,benefit
mzya,benefit
fayda,benefit
fa2ida,benefit
rb7,gain
rbe7,gain
rba7,gain
nf3,utility
nfe3,utility
nfa3,utility
kimmia,quantity
kimmyya,quantity
kimmya,quantity
fkh,trap
f55,trap
fa55,trap
tnsi9,coordination
tansi9,coordination
tnsy9,coordination
nachaaT,activity
Da7yya,victim
Da7ya,victim
motta8am,accused
3ti9al,arrest
3tiqal,arrest
i3ti9al,arrest
3tiraf,confession
i3tiraf,confession
3tiraaf,confession
mo7akama,trial
mo7aakama,trial
mohakama,trial
cha8id,witness
chaa8id,witness
chahid,witness
dalil,proof
dalyl,proof
modnib,guilty
bari2,innocent
bary2,innocent
chfra,theft
chefra,theft
chafra,theft
grisaj,aggression
grissaj,aggression
sr9a,robbery
srqa,robbery
ser9a,robbery
ladrog,drug
ghtiSab,rape
ightiSab,rape
ghtissab,rape
9tila,murder
qtila,murder
rchwa,bribery
rechwa,bribery
rachwa,bribery
7tyal,fraud
7tial,fraud
i7tial,fraud
7okm,sentence
7oukm,sentence
hokm,sentence
i3dam,death penalty
chn9,hanging
chen9,hanging
chan9,hanging
snsla,chain
sensla,chain
selsla,chain
7okoma,government
7okouma,government
hokouma,government
syasa,politics
siasa,politics
siassa,politics
7izb,party
hizb,party
7rrag,illegal immigrant
7errag,illegal immigrant
7arrag,illegal immigrant
mo8ajir,immigrant
sti3mar,colonization
isti3mar,colonization
3omda,mayor
3oumda,mayor
amir,prince
amyr,prince
wfd,delegation
wefd,delegation
wafd,delegation
jm3ia,association
jm3ya,association
jam3ia,association
wizara,ministry
chi3ar,slogan
chi3aar,slogan
ra2y,opinion
nSS,half
neSS,half
naSS,half
fasad,corruption
fassad,corruption
fasaad,corruption
amn,security
aman,security
2amn,security
salama,safety
salaama,safety
7imaya,protection
mosawat,equality
mosaawaat,equality
mosaawat,equality
sti9lal,independence
isti9lal,independence
syada,sovereignty
siada,sovereignty
3adaala,justice
tasamo7,tolerance
tasaamo7,tolerance
ta3ayouch,coexistence
ta3ayoch,coexistence
7orria,freedom
7orrya,freedom
karama,dignity
karaama,dignity
Damir,conscience
Damyr,conscience
mbde2,principle
mabda2,principle
mebde2,principle
akhla9,morals
a5la9,morals
mi3yar,standard
mi3iar,standard
m3your,insult
m3yor,insult
me3your,insult
Dolm,oppression
9m3,repression
9em3,repression
9am3,repression
tmyiz,discrimination
tamyiz,discrimination
temyiz,discrimination
3onSoria,racism
t3dib,torture
t3dyb,torture
ta3dib,torture
mjzara,massacre
mejzara,massacre
majzara,massacre
mdba7a,massacre
medba7a,massacre
madba7a,massacre
ibada,genocide
ibaada,genocide
da3ara,prostitution
da3aara,prostitution
nggan,harassment
neggan,harassment
noggan,harassment
3oboudia,slavery
3obodia,slavery
n9ilab,coup
in9ilab,coup
Sira3,conflict
Sera3,conflict
Siraa3,conflict
mo9awama,resistance
mo9aawama,resistance
moqawama,resistance
7tilal,occupation
i7tilal,occupation
7tilaal,occupation
sla7,weapon
sif,sword
syf,sword
sayf,sword
8rawa,baton
hrawa,baton
nawawi,nuclear
nnawani,nuclear
9nbola,bomb
9nboula,bomb
9anbola,bomb
tfrgi3,explosion
tfergui3,explosion
tfargi3a,explosion
nti7ar,suicide
inti7ar,suicide
ch8id,martyr
ch8yd,martyr
chahid,martyr
9br,grave
9ber,grave
9bar,grave
dbbaba,tank
debbaba,tank
khasara,loss
khasaara,loss
5asaara,loss
stistlam,surrender
istislam,surrender
stislaam,surrender
7ll,solution
7ell,solution
7all,solution
we9t,time
wa9t,time
w9t,time
khdma,work
khedma,work
3alam,world
Terf,part
Trf,part
ders,course
dars,course
drs,course
system,system
blaSa,place
mjmo3a,group
m3loma,information
ma3loma,information
7a9i9a,fact
flouss,money
flos,money
flous,money
n9Ta,point
no9Ta,point
khdma,business
khedma,business
khadma,business
gharad,business
lil,night
jiha,area
misa7a,area
7aja,thing
haja,thing
3a2ila,family
rass,head
yed,hand
yd,hand
id,hand
tertib,order
niDam,order
jiha,side
Dar,home
TaTawwor,development
tanmia,development
Simana,week
simana,week
dowla,country
majliss,council
sti3mal,use
khidma,service
serbiss,service
me7kama,court
jma3a,lot
boliss,police
formulaire,form
wjh,face
terbia,education
siyassa,policy
ba7t,research
be7t,research
b7t,research
retteb,sort
mekteb,office
mktb,office
jism,body
chakhS,person
se77a,health
si77a,health
oum,mother
om,mother
walida,mother
so2al,question
ce2al,question
mer7ala,period
smia,name
ktab,book
mostawa,level
derri sghir,child
berhouch,child
ta7akkom,control
menDer,view
mnDer,view
mnDr,view
Str,line
mojtama3,community
janoub,south
janob,south
mdina,city
allah,god
ilah,god
reb,god
rb,god
ab,father
2ab,father
walid,father
merkerz,centre
mrkz,centre
merkz,centre
lkheddama,staff
nou3,kind
7araka,action
idara,management
tasyir,management
f3la,act
fe3la,act
fi3l,act
3amalia,process
chamal,north
dalil,evidence
fikra,idea
gharb,west
ghrb,west
gherb,west
da3m,support
la7da,moment
l7da,moment
t9rir,report
ta9rir,report
39el,mind
39l,mind
kanisa,church
sba7,morning
Sina3a,industry
2ard,land
3inaya,care
9arn,century
9ern,century
llour,back
llor,back
tabadol,trade
tbdal,trade
tarikh,history
9raya,study
zen9a,street
zn9a,street
no9ta,rate
n9ta,rate
kelma,word
makla,food
natija,result
akhor,other
ssi,sir
SolTa,authority
dawr,role
dour,role
sabab,reason
taman,price
mdina,town
9ism,class
classe,class
Tabi3a,nature
mawdo3,subject
9ism,department
itti7ad,union
banka,bank
3oDw,member
i7tiyaj,need
sher9,east
shar9,east
shr9,east
tdrib,practice
tadrib,practice
wer9a,paper
kaghit,paper
9a3it,paper
kaght,paper
tmer,date
rendez vous,date
ra9m,figure
mra,wife
ra2is,president
jami3a,university
nadi,club
jawda,quality
jaouda,quality
SoT,voice
SouT,voice
moulay,lord
mer7ala,stage
mar7ala,stage
mr7ala,stage
khashaba,stage
7na,us
maw9if,situation
mo9if,situation
Dariba,tax
intaj,production
massira,march
chher tlata,march
ch8er tlata,march
sekritira,secretary
secritira,secretary
fen,art
fn,art
fnn,art
ch8er khmsa,may
ch8er khamsa,may
ch8er khemsa,may
sbiTar,hospital
ch8er,month
moSi9a,music
taman,cost
2ard fila7ia,field
tiran,field
ja2iza,award
mochkil,issue
ms2ala,issue
mas2ala,issue
mchro3,project
mchrou3,project
mechrou3,project
faSl,chapter
lo3ba,game
l3ba,game
le3ba,game
kimmiya,amount
kimmia,amount
2asas,basis
ma3rifa,knowledge
m3rifa,knowledge
mo9araba,approach
moselsal,series
7ob,love
lfo9,top
akhbar,news
goddam,front
9oddam,front
mosta9bal,future
most9bal,future
modir,manager
7isab,account
7sab,account
pc,computer
ordinateur,computer
ra7a,rest
khedma,labour
khdma,labour
